"Company_Code","Hits","Hits/sec","Date"
"GFC",72060,0.837906976744186,"07/08/2023"
"BAT",19209,0.22336046511627908,"07/08/2023"
"FOS_US",18520,0.2153488372093023,"07/08/2023"
"wingstarus",12599,0.1465,"07/08/2023"
"CFSUK",10926,0.12704651162790698,"07/08/2023"
"ACT",5531,0.0643139534883721,"07/08/2023"
"wingstar",3041,0.03536046511627907,"07/08/2023"
"AFS",2,0.00002325581395348837,"07/08/2023"
"GFC",66170,0.7694186046511627,"06/08/2023"
"BAT",36017,0.41880232558139535,"06/08/2023"
"FOS_US",18224,0.21190697674418604,"06/08/2023"
"CFSUK",11566,0.13448837209302325,"06/08/2023"
"ACT",7124,0.08283720930232558,"06/08/2023"
"wingstarus",6981,0.08117441860465116,"06/08/2023"
"wingstar",5,0.000058139534883720933,"06/08/2023"
